[2026-02-15 16:12:08] Conectado ao CLP na porta COM2.
[2026-02-15 16:12:11] Monitor iniciado para 12 TAGs.
[2026-02-15 16:13:39] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [81, 0].
[2026-02-15 16:13:40] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [82, 0].
[2026-02-15 16:13:40] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [82, 0].
[2026-02-15 16:13:40] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [83, 0].
[2026-02-15 16:13:41] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [83, 0].
[2026-02-15 16:13:41] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [83, 0].
[2026-02-15 16:13:42] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [84, 0].
[2026-02-15 16:13:43] Alteracao salva: TAG PECAPH29 (DM 0..1) = [84, 0].
[2026-02-15 16:13:43] Alteracao salva: TAG PECAPH30 (DM 2..3) = [86, 0].
[2026-02-15 16:13:44] Alteracao salva: TAG PECAPH31 (DM 4..5) = [86, 0].
[2026-02-15 16:13:44] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [86, 0].
[2026-02-15 16:13:44] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [87, 0].
[2026-02-15 16:13:45] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [87, 0].
[2026-02-15 16:13:45] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [88, 0].
[2026-02-15 16:13:46] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [88, 0].
[2026-02-15 16:13:46] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [88, 0].
[2026-02-15 16:13:47] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [89, 0].
[2026-02-15 16:13:47] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [89, 0].
[2026-02-15 16:13:47] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [96, 0].
[2026-02-15 16:13:49] Alteracao salva: TAG PECAPH29 (DM 0..1) = [96, 0].
[2026-02-15 16:13:49] Alteracao salva: TAG PECAPH30 (DM 2..3) = [97, 0].
[2026-02-15 16:13:49] Alteracao salva: TAG PECAPH31 (DM 4..5) = [98, 0].
[2026-02-15 16:13:50] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [98, 0].
[2026-02-15 16:13:50] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [98, 0].
[2026-02-15 16:13:51] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [99, 0].
[2026-02-15 16:13:51] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [99, 0].
[2026-02-15 16:13:51] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [99, 0].
[2026-02-15 16:13:51] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [100, 0].
[2026-02-15 16:13:52] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [100, 0].
[2026-02-15 16:13:52] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [100, 0].
[2026-02-15 16:13:53] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [101, 0].
[2026-02-15 16:13:54] Alteracao salva: TAG PECAPH29 (DM 0..1) = [101, 0].
[2026-02-15 16:13:54] Alteracao salva: TAG PECAPH30 (DM 2..3) = [103, 0].
[2026-02-15 16:13:55] Alteracao salva: TAG PECAPH31 (DM 4..5) = [103, 0].
[2026-02-15 16:13:55] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [104, 0].
[2026-02-15 16:13:55] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [104, 0].
[2026-02-15 16:13:56] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [104, 0].
[2026-02-15 16:13:56] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [104, 0].
[2026-02-15 16:13:56] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [105, 0].
[2026-02-15 16:13:57] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [105, 0].
[2026-02-15 16:13:57] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [105, 0].
[2026-02-15 16:13:57] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [112, 0].
[2026-02-15 16:13:58] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [112, 0].
[2026-02-15 16:13:59] Alteracao salva: TAG PECAPH29 (DM 0..1) = [112, 0].
[2026-02-15 16:14:00] Alteracao salva: TAG PECAPH30 (DM 2..3) = [114, 0].
[2026-02-15 16:14:00] Alteracao salva: TAG PECAPH31 (DM 4..5) = [114, 0].
[2026-02-15 16:14:00] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [114, 0].
[2026-02-15 16:14:01] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [115, 0].
[2026-02-15 16:14:01] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [115, 0].
[2026-02-15 16:14:01] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [116, 0].
